date,open,high,low,close,volume,amount,turnover_pct,pct_change
2025-12-10,184.419675,184.419675,178.384122,183.6149346,9546875,2583479285.19,1.5247,-0.9765
2025-12-11,183.46739886,184.65439095,179.73206217,179.74547451,7565883,2052779643.88,1.2083,-2.1074
2025-12-12,179.75888685,187.49110086,175.49376273,187.46427618,18311622,4997941055.59,2.9245,4.2943
2025-12-15,187.77276,192.8023875,184.419675,185.00311179,15359268,4324723885.61,2.453,-1.3129
2025-12-16,183.078441,185.71396581,178.82672922,182.74983867,10273257,2794923742.08,1.6407,-1.218
2025-12-17,182.41453017,187.9739451,181.70367615,187.21614789,9774821,2704800609.6,1.5611,2.4439
2025-12-18,185.09699817,187.102143,181.14706404,182.89066824,8706346,2384639740.69,1.3905,-2.3104
2026-01-05,186.431526,209.99030121,186.42481983,208.78319061,28120611,8466503366.81,4.4911,14.1574
2026-01-06,210.573738,225.24683796,209.08496826,221.08230639,25382490,8327547916.83,4.0538,5.8909
2026-01-07,227.92930596,240.6844413,225.78333156,236.28519378,24067287,8411471579.85,3.8437,6.8766
2026-01-08,233.58260727,239.12860986,230.4240012,231.95300796,16554956,5788749965.46,2.6439,-1.8335
2026-01-09,222.93320931,229.351014,221.8401036,225.78333156,20378587,6835094481.0,3.2546,-2.6599
2026-01-12,231.362865,247.457673,229.12300422,236.51990973,17891534,6353734995.97,2.8574,4.7553
2026-01-13,233.67649365,239.66510346,230.3569395,232.033482,12762805,4464431210.55,2.0383,-1.8968
2026-01-14,233.36130366,247.43755449,228.28473297,236.31201846,17215906,6114563398.57,2.7495,1.8439
2026-01-15,234.32699214,251.17959735,232.3687905,248.798907,17752256,6420074904.0,2.8352,5.2841
2026-01-16,252.822609,266.4361341,250.4754495,252.91649538,26306810,10089084507.88,4.2014,1.655
2026-01-19,258.59662137,260.19268983,249.469524,254.163843,15921639,6045333613.52,2.5428,0.4932
2026-01-20,252.151992,256.08851379,241.7574285,244.31918544,15793393,5817436022.51,2.5223,-3.8734
2026-01-21,244.104588,255.58555104,242.26709742,244.775205,15677590,5770969221.13,2.5038,0.1866
2026-01-22,247.6588581,248.79220083,234.5818266,237.03628482,14780793,5260302850.21,2.3606,-3.1616
2026-01-23,237.05640333,250.73028396,233.60943195,246.48527835,16029419,5766538618.8,2.56,3.9863
2026-01-26,246.116439,246.116439,232.82481006,236.80156887,14763216,5236241088.17,2.3578,-3.9287
2026-01-27,237.31794396,247.9271049,236.29189995,239.46391836,14202601,5134564142.8,2.2683,1.1243
2026-01-28,245.445822,251.481375,238.28363244,247.18272003,18429320,6723649268.81,2.9433,3.2234
2026-01-29,244.8422667,245.43911583,232.7711607,232.9723458,17407900,6131749545.67,2.7802,-5.7489
2026-01-30,231.69146733,239.39685666,227.339163,233.34118515,11304456,3945559644.39,1.8054,0.1583
2026-02-02,231.02085033,232.704099,222.85944144,223.10086356,13928364,4706481449.48,2.2245,-4.3886
2026-02-03,228.4792119,233.7100245,226.0649907,232.27490412,11157473,3835714355.84,1.7819,4.1121
2026-02-04,230.021631,238.62564711,228.00978,234.18616257,9283484,3236244248.2,1.4826,0.8228
2026-02-05,228.00978,242.20003572,227.25868896,239.32979496,11565632,4051348237.01,1.8471,2.1964
2026-02-06,236.37908016,241.42212,233.92462194,234.1794564,9194775,3254095013.31,1.4685,-2.152
2026-02-09,237.98185479,239.5443924,232.24137327,236.1242457,8590734,3012225332.54,1.372,0.8305
2026-02-10,236.1242457,236.727801,232.28161029,235.04455233,6442404,2252401565.58,1.0289,-0.4573
2026-02-11,233.374716,234.3806415,230.02833717,232.61021262,5360820,1857846153.73,0.8562,-1.0357
2026-02-12,234.045333,235.5206904,226.66183983,231.362865,9031579,3100167704.99,1.4424,-0.5362
